truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text
False,"""Dems warn not to underestimate Trump's potential win""
https://t.co/X3xHtjhHpB",False,758778607489708032,19089,iphone,False,6382,False,en,Thu Jul 28 21:38:12 +0000 2016,dems warn underestimate trump potential win
False,Great to be back in Iowa! #TBT with @JerryJrFalwell joining me in Davenport- this past winter. #MAGA https://t.co/A5IF0QHnic,False,758771144140820481,16832,iphone,False,4312,False,en,Thu Jul 28 21:08:32 +0000 2016,great back iowa tbt @jerryjrfalwell joining davenport past winter maga
False,Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.,False,758768028595032064,29873,iphone,False,10518,False,en,Thu Jul 28 20:56:09 +0000 2016,median household income middle class since obama took office go clinton
False,"A vote for Clinton-Kaine is a vote for TPP, NAFTA, high taxes, radical regulation, and massive influx of refugees.",False,758761945910669312,38483,iphone,False,16647,False,en,Thu Jul 28 20:31:59 +0000 2016,vote clinton kaine vote tpp nafta high taxes radical regulation massive influx refugees
False,"AMERICA'S FUTURE
https://t.co/xymiA0Az7x",False,758761521317023744,10980,iphone,False,3665,False,und,Thu Jul 28 20:30:18 +0000 2016,america future
False,Bernie caved! https://t.co/xtcOnA8cw1,False,758732782348623874,14469,web,False,4593,False,en,Thu Jul 28 18:36:06 +0000 2016,bernie caved
False,"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart https://t.co/bVAj52fA3Y @realdonaldtrump""  Great!",False,758731880183193601,17050,android,False,6356,False,en,Thu Jul 28 18:32:31 +0000 2016,@lallyray poll donald trump sees point positive swing two weeks breitbart @realdonaldtrump great
False,"RT @mike_pence: Good morning! Join me in Lima, Ohio - tomorrow evening at 7pm. #MAGA
Tickets: https://t.co/sNfhyGeaAH",False,758690714268143616,0,iphone,False,3191,False,en,Thu Jul 28 15:48:56 +0000 2016,rt @mike pence good morning join lima ohio tomorrow evening pm maga tickets
False,RT @DRUDGE_REPORT: Obama Refers to Himself 119 Times During Hillary Nominating Speech... https://t.co/TyJI2DuqEk,False,758681061786263552,0,web,False,7606,False,en,Thu Jul 28 15:10:35 +0000 2016,rt @drudge report obama refers times hillary nominating speech
False,"""@trumplican2016: @realDonaldTrump @DavidWohl stay the course mr trump your message is resonating with the PEOPLE""",False,758512401629192192,24163,android,False,6644,False,en,Thu Jul 28 04:00:23 +0000 2016,@trumplican @realdonaldtrump @davidwohl stay course mr trump message resonating people
False,"""@DavidWohl: Barack is offended that @realDonaldTrump will demand that #NATO allies pay their fair share. #DemsInPhilly""",False,758511494669664256,24817,android,False,8036,False,en,Thu Jul 28 03:56:47 +0000 2016,@davidwohl barack offended @realdonaldtrump demand nato allies pay fair share demsinphilly
False,"Our country does not feel 'great already' to the millions of wonderful people living in poverty, violence and despair.",False,758492727583576064,49373,iphone,False,16683,False,en,Thu Jul 28 02:42:13 +0000 2016,country feel great already millions wonderful people living poverty violence despair
False,Shooting deaths of police officers up 78% this year. We must restore law and order and protect our great law enforcement officers!,False,758491947409481728,62582,iphone,False,20199,False,en,Thu Jul 28 02:39:07 +0000 2016,shooting deaths police officers year must restore law order protect great law enforcement officers
False,"Join me live in Toledo, Ohio!
#MakeAmericaGreatAgain
https://t.co/ruEvMGx4C9",False,758452289376022529,14139,iphone,False,3885,False,en,Thu Jul 28 00:01:31 +0000 2016,join live toledo ohio makeamericagreatagain
False,#CrookedHillary https://t.co/lwi9gqDEHE,False,758422125254471680,35891,iphone,False,19182,False,und,Wed Jul 27 22:01:40 +0000 2016,crookedhillary
False,"Thank you Pennsylvania!
#MakeAmericaGreatAgain 
https://t.co/bbv3EhGs5x https://t.co/bbroAGTdMw",False,758421383063961604,18547,iphone,False,5423,False,en,Wed Jul 27 21:58:43 +0000 2016,thank pennsylvania makeamericagreatagain
False,Thank you to our amazing law enforcement officers! #MAGA https://t.co/UEZorOQhTw,False,758380358874247168,45673,iphone,False,16189,False,en,Wed Jul 27 19:15:42 +0000 2016,thank amazing law enforcement officers maga
False,"""Trump right: Illegal families crossing border set to double, 51,152 so far""
https://t.co/1noCe9W6Ru",False,758367154232320000,13934,iphone,False,6634,False,en,Wed Jul 27 18:23:14 +0000 2016,trump right illegal families crossing border set double far
False,"Great new poll - thank you!
#MakeAmericaGreatAgain https://t.co/mXovx0TLPC",False,758350470402408449,37263,iphone,False,13771,False,en,Wed Jul 27 17:16:56 +0000 2016,great new poll thank makeamericagreatagain
