source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Fri Jul 29 01:42:17 +0000 2016,False,No wonder they don't want to talk about the past  https://t.co/7uPBjI8GVT,wonder want talk past,no wonder they don t want to talk about the past
other,Fri Jul 29 01:41:34 +0000 2016,False,Whoa.  https://t.co/yaGykaz53C,whoa,whoa
other,Fri Jul 29 01:38:17 +0000 2016,False,"Thank you, Shannon, for your kind words and brave fight for what is right always.  https://t.co/WISWeRZkiM",thank shannon kind words brave fight right always,thank you shannon for your kind words and brave fight for what is right always
other,Fri Jul 29 01:36:06 +0000 2016,False,Wrapping up two weeks of convention reaction with @seanhannity tonight. #FoxNews  https://t.co/P2i8BWGs2C,wrapping two weeks convention reaction @seanhannity tonight foxnews,wrapping up two weeks of convention reaction with @seanhannity tonight foxnews
other,Fri Jul 29 01:33:29 +0000 2016,True,RT @mschlapp: A blast to be on @LouDobbs w 3 @ACUConservative board members @KellyannePolls @VanHipp. Hope tonight's ratings go up!,rt @mschlapp blast @loudobbs w @acuconservative board members @kellyannepolls @vanhipp hope tonight ratings go,rt @mschlapp a blast to be on @loudobbs w @acuconservative board members @kellyannepolls @vanhipp hope tonight s ratings go up
other,Fri Jul 29 01:28:20 +0000 2016,False,Sanders delegates say they'll demonstrate inside hall during Clinton speech https://t.co/Gzi9yR1rJs via @DCExaminer,sanders delegates say demonstrate inside hall clinton speech via @dcexaminer,sanders delegates say they ll demonstrate inside hall during clinton speech via @dcexaminer
other,Thu Jul 28 20:02:37 +0000 2016,True,RT @adamhgeller: Reverse bump! @realDonaldTrump's lead grows to 7% during week of DNC Convention. @TonyFabrizioGOP @KellyannePolls https://…,rt @adamhgeller reverse bump @realdonaldtrump lead grows week dnc convention @tonyfabriziogop @kellyannepolls https,rt @adamhgeller reverse bump @realdonaldtrump s lead grows to during week of dnc convention @tonyfabriziogop @kellyannepolls https
other,Thu Jul 28 20:01:48 +0000 2016,False,"Thank you, Michael - adorable baby in your pic! https://t.co/4S2OHdy5Pt",thank michael adorable baby pic,thank you michael adorable baby in your pic
other,Thu Jul 28 19:45:08 +0000 2016,True,"RT @DanScavino: What you don't see. Mrs. Pence leading prayer w/ #TrumpPence16- prior to yesterday's Pennsylvania rally. 
#MAGA #BTS https:…",rt @danscavino see mrs pence leading prayer w trumppence prior yesterday pennsylvania rally maga bts https,rt @danscavino what you don t see mrs pence leading prayer w trumppence prior to yesterday s pennsylvania rally maga bts https
other,Thu Jul 28 03:35:21 +0000 2016,False,Maybe on TV. Not here in the hall https://t.co/lHvFcAbW50,maybe tv hall,maybe on tv not here in the hall
other,Thu Jul 28 03:34:11 +0000 2016,False,Obama speech was mostly about Obama.  He did not do for Hillary what Bill did for him four years ago.,obama speech mostly obama hillary bill four years ago,obama speech was mostly about obama he did not do for hillary what bill did for him four years ago
other,Thu Jul 28 03:26:13 +0000 2016,False,Loudest applause line of the night when @POTUS invokes @BernieSanders supporters. No mention of @HillaryClinton came close.,loudest applause line night @potus invokes @berniesanders supporters mention @hillaryclinton came close,loudest applause line of the night when @potus invokes @berniesanders supporters no mention of @hillaryclinton came close
other,Thu Jul 28 03:22:54 +0000 2016,False,"Integrity is a qualification, so say he voters.  https://t.co/wT9MqG4IZh",integrity qualification say voters,integrity is a qualification so say he voters
other,Thu Jul 28 03:18:23 +0000 2016,False,Hillary 2008. https://t.co/3mxDt1wEqH,hillary,hillary
other,Thu Jul 28 03:16:12 +0000 2016,False,"Voters think integrity, not a DC resume, is a qualification.",voters think integrity dc resume qualification,voters think integrity not a dc resume is a qualification
other,Thu Jul 28 03:12:51 +0000 2016,False,Which says quite a bit. She's been a foregone conclusion. (For 8 years in fact). https://t.co/1pHXd7r4Zy,says quite bit foregone conclusion years fact,which says quite a bit she s been a foregone conclusion for years in fact
other,Thu Jul 28 03:08:54 +0000 2016,False,Si! Yes! (Oui!) https://t.co/ijY4oQ3fAb,si yes oui,si yes oui
other,Thu Jul 28 03:08:03 +0000 2016,False,And that Democrat nominee lost. Gonna happen again. https://t.co/xLhYXn17FE,democrat nominee lost gonna happen,and that democrat nominee lost gonna happen again
other,Thu Jul 28 03:03:57 +0000 2016,False,Sad but true. #DemConvention  https://t.co/pEcyFfMen3,sad true demconvention,sad but true demconvention
other,Thu Jul 28 02:48:13 +0000 2016,False,"Somewhere in a swing state, @mike_pence is smiling.  https://t.co/YX4txSJbzx",somewhere swing state @mike pence smiling,somewhere in a swing state @mike pence is smiling
other,Thu Jul 28 02:42:28 +0000 2016,False,"Following @timkaine lackluster speech at #DNCinPHL, Happiest guy in USA tonight should be @mike_pence.",following @timkaine lackluster speech dncinphl happiest guy usa tonight @mike pence,following @timkaine lackluster speech at dncinphl happiest guy in usa tonight should be @mike pence
other,Thu Jul 28 02:38:42 +0000 2016,False,"Delegates polite but not excited for @timkaine, waiving ""no TPP"" signs, pining for a different pick. #DemsInPhilly",delegates polite excited @timkaine waiving tpp signs pining different pick demsinphilly,delegates polite but not excited for @timkaine waiving no tpp signs pining for a different pick demsinphilly
