source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Thu Mar 03 19:48:28 +0000 2016,"Next stop: Topeka, Wichita &amp; Kansas City. RSVP now to rally with me in Kansas tomorrow! https://t.co/wJ5M1PsEMg #kscaucus",False,next stop topeka wichita kansas city rsvp rally kansas tomorrow kscaucus,next stop topeka wichita kansas city rsvp now to rally with me in kansas tomorrow kscaucus
other,Tue Mar 01 12:18:25 +0000 2016,RT @char07uva: Got up early to vote with hubs with our 7 week old and toddler in tow! @marcorubio #SuperTuesday #teachthemyoung #morecoffee…,True,rt @char uva got early vote hubs week old toddler tow @marcorubio supertuesday teachthemyoung morecoffee,rt @char uva got up early to vote with hubs with our week old and toddler in tow @marcorubio supertuesday teachthemyoung morecoffee
other,Sun Jul 31 15:05:41 +0000 2016,Welcome home @HarrisNOFLYZONE. Bringing some @MiamiBTW_FB to @MiamiDolphins,False,welcome home @harrisnoflyzone bringing @miamibtw fb @miamidolphins,welcome home @harrisnoflyzone bringing some @miamibtw fb to @miamidolphins
other,Wed Jan 20 23:33:58 +0000 2016,Thanks to Kelli from NC! Her donation got us over the $10k line. Chip in here to win: https://t.co/IOBAwyBfyF https://t.co/3HEvZy57zm,False,thanks kelli nc donation got us k line chip win,thanks to kelli from nc her donation got us over the k line chip in here to win
other,Thu Jul 28 12:04:16 +0000 2016,@SherredEllen @jackieionescu thank you both for your support https://t.co/9dhhfZnc0Q,False,@sherredellen @jackieionescu thank support,@sherredellen @jackieionescu thank you both for your support
other,Fri Nov 04 18:13:02 +0000 2016,Don’t wake up after Election Day wondering if you could have done more to help out. Volunteer this weekend:… https://t.co/Ljriu2EkoK,False,wake election day wondering could done help volunteer weekend,don t wake up after election day wondering if you could have done more to help out volunteer this weekend
other,Sat Feb 06 19:44:46 +0000 2016,"Today we celebrate the birthday of Ronald Reagan and honor his legacy of leadership, courage and optimism. https://t.co/A9X3Iv4hdX",False,today celebrate birthday ronald reagan honor legacy leadership courage optimism,today we celebrate the birthday of ronald reagan and honor his legacy of leadership courage and optimism
other,Thu Sep 01 15:20:12 +0000 2016,The time to win is NOW and I need your help heading into November. Can I count on you? https://t.co/OhwoOf8FCo https://t.co/JJ9MAvHDOM,False,time win need help heading november count,the time to win is now and i need your help heading into november can i count on you
other,Thu Feb 18 02:14:07 +0000 2016,I'm the only GOP candidate who's talking regularly about student loan debt. https://t.co/CwtOBJRZa9 #GOPTownHall,False,gop candidate talking regularly student loan debt goptownhall,i m the only gop candidate who s talking regularly about student loan debt goptownhall
other,Fri Feb 26 23:00:36 +0000 2016,Tune into @FoxNews now — I’m on @SpecialReport with @BretBaier shortly,False,tune @foxnews @specialreport @bretbaier shortly,tune into @foxnews now i m on @specialreport with @bretbaier shortly
other,Wed Feb 24 18:06:53 +0000 2016,We had an awesome crowd at our rally in Minneapolis yesterday! See for yourself: https://t.co/Ghgc1RDU9y,False,awesome crowd rally minneapolis yesterday see,we had an awesome crowd at our rally in minneapolis yesterday see for yourself
other,Sat Jan 30 15:01:29 +0000 2016,Make sure you're ready to caucus on Monday. Here’s everything you need to know: https://t.co/Eu1lDs4XgA #iacaucus,False,make sure ready caucus monday everything need know iacaucus,make sure you re ready to caucus on monday here s everything you need to know iacaucus
other,Fri Jan 15 03:01:17 +0000 2016,RT @IngrahamAngle: Excellent answer by @MarcoRubio on guns.,True,rt @ingrahamangle excellent answer @marcorubio guns,rt @ingrahamangle excellent answer by @marcorubio on guns
other,Fri Mar 04 04:02:25 +0000 2016,Today's millennials have a chance to be the greatest generation we've had in 100 years. #GOPDebate https://t.co/BxuMIBPVrN,False,today millennials chance greatest generation years gopdebate,today s millennials have a chance to be the greatest generation we ve had in years gopdebate
