source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,My opening stmt at #SASC hearing on worldwide threats w/ DNI James Clapper: https://t.co/PTITTYMY5t Watch: https://t.co/tKaHq5tWNy,Tue Feb 09 15:02:53 +0000 2016,False,opening stmt sasc hearing worldwide threats w dni james clapper watch,my opening stmt at sasc hearing on worldwide threats w dni james clapper watch
other,"Great visiting Navajo Nation Pres Russell Begaye, State Sen Carlyle Begay &amp; tribal leaders today! #Arizona https://t.co/EiAP87oPjT",Mon Jul 25 21:00:14 +0000 2016,False,great visiting navajo nation pres russell begaye state sen carlyle begay tribal leaders today arizona,great visiting navajo nation pres russell begaye state sen carlyle begay tribal leaders today arizona
other,"Good news for Glendale #Arizona! ""Developer launches $30M health care campus that will bring 1,500 jobs to Glendale"" https://t.co/9VmoRIBuRz",Fri Mar 11 16:06:02 +0000 2016,False,good news glendale arizona developer launches health care campus bring jobs glendale,good news for glendale arizona developer launches m health care campus that will bring jobs to glendale
other,"Great mtg w/ leaders of #Arizona military support orgs – SADA, DM50, Huachuca50 &amp; Yuma50! cc: @MissionStrongAZ https://t.co/n7N8DxWLNR",Tue Jul 12 17:45:55 +0000 2016,False,great mtg w leaders arizona military support orgs sada dm huachuca yuma cc @missionstrongaz,great mtg w leaders of arizona military support orgs sada dm huachuca yuma cc @missionstrongaz
other,".@BuzzFeed: ""Toxic Mine Spill That Turned River Yellow Prompts Call For Criminal Investigation"" https://t.co/9HlO4Reunq",Sat Apr 23 16:29:02 +0000 2016,False,@buzzfeed toxic mine spill turned river yellow prompts call criminal investigation,@buzzfeed toxic mine spill that turned river yellow prompts call for criminal investigation
other,"Must-read @USATODAY: ""Massive Leak Reveals Money Rings of Global Leaders"" -- including our dear friend Vlad https://t.co/10lGhirZBi",Mon Apr 04 13:26:49 +0000 2016,False,must read @usatoday massive leak reveals money rings global leaders including dear friend vlad,must read @usatoday massive leak reveals money rings of global leaders including our dear friend vlad
other,".@POTUS's defense budget $17B less than what military needed last yr - forcing cuts to equipment, training &amp; support troops need #FY17NDAA",Wed Jun 08 18:31:58 +0000 2016,False,@potus defense budget b less military needed last yr forcing cuts equipment training support troops need fy ndaa,@potus s defense budget b less than what military needed last yr forcing cuts to equipment training support troops need fy ndaa
other,Great to be @OrbitalATK in #Mesa for a packed town hall meeting today - thanks for having me! https://t.co/Njp5ckCs8j,Wed Oct 05 21:48:16 +0000 2016,False,great @orbitalatk mesa packed town hall meeting today thanks,great to be @orbitalatk in mesa for a packed town hall meeting today thanks for having me
other,Today we honor sacrifice of #Lithuanian ppl who fought for freedom &amp; helped secure democracy in Europe 25 yrs ago #NeverForget13January1991,Wed Jan 13 22:07:47 +0000 2016,False,today honor sacrifice lithuanian ppl fought freedom helped secure democracy europe yrs ago neverforget january,today we honor sacrifice of lithuanian ppl who fought for freedom helped secure democracy in europe yrs ago neverforget january
other,Tune-in to @NFLFilms #AFootballLife profiling the inspiring life of Pat Tillman TONIGHT at 9pm ET on @nflnetwork!,Fri Oct 28 14:49:34 +0000 2016,False,tune @nflfilms afootballlife profiling inspiring life pat tillman tonight pm et @nflnetwork,tune in to @nflfilms afootballlife profiling the inspiring life of pat tillman tonight at pm et on @nflnetwork
other,"#DNI Clapper on capability of non-#Russian rocket engine: ""There is a capability with the Delta...which is both effective &amp; cost efficient""",Tue Feb 09 15:37:13 +0000 2016,False,dni clapper capability non russian rocket engine capability delta effective cost efficient,dni clapper on capability of non russian rocket engine there is a capability with the delta which is both effective cost efficient
other,Congrats to #Arizona schools on being recognized as Nat'l #BlueRibbon Schools by @usedgov! https://t.co/YabzvVQDbg,Thu Sep 29 15:12:28 +0000 2016,False,congrats arizona schools recognized nat l blueribbon schools @usedgov,congrats to arizona schools on being recognized as nat l blueribbon schools by @usedgov
other,Great visiting so many @AzCities mayors &amp; leaders representing #Arizona at the @leagueofcities #NLCDC conference! https://t.co/xUMqbGm9hb,Wed Mar 09 13:45:29 +0000 2016,False,great visiting many @azcities mayors leaders representing arizona @leagueofcities nlcdc conference,great visiting so many @azcities mayors leaders representing arizona at the @leagueofcities nlcdc conference
other,RT @SASCMajority: STARING NOW: #SASC hearing on nominations for @CENTCOM &amp; USSOCOM commander - watch live: https://t.co/izcKKL9lVx,Wed Mar 09 15:02:44 +0000 2016,True,rt @sascmajority staring sasc hearing nominations @centcom ussocom commander watch live,rt @sascmajority staring now sasc hearing on nominations for @centcom ussocom commander watch live
other,Taxpayers should whine about USDA wasting $3.6M on Winetasting #AmericasMostWasted,Thu Jan 07 22:04:15 +0000 2016,False,taxpayers whine usda wasting winetasting americasmostwasted,taxpayers should whine about usda wasting m on winetasting americasmostwasted
other,Very sad to hear about the loss of fmr @AZCardinals coach Dennis Green - he will always be remembered as a pioneer for sport of football,Fri Jul 22 16:15:52 +0000 2016,False,sad hear loss fmr @azcardinals coach dennis green always remembered pioneer sport football,very sad to hear about the loss of fmr @azcardinals coach dennis green he will always be remembered as a pioneer for sport of football
other,".@GovExec: ""Senators Lambaste Agency for Reversing VA’s Decision to Punish Senior Executives"" https://t.co/ch4c0q5Ive",Fri Mar 04 19:23:50 +0000 2016,False,@govexec senators lambaste agency reversing va decision punish senior executives,@govexec senators lambaste agency for reversing va s decision to punish senior executives
other,This plaque that now hangs in dining room of Quarters A @PacificCommand honors my father who served as CDR 1968-1972 https://t.co/EkqUvtsqUK,Fri Jun 03 12:36:52 +0000 2016,False,plaque hangs dining room quarters @pacificcommand honors father served cdr,this plaque that now hangs in dining room of quarters a @pacificcommand honors my father who served as cdr
other,We should burst Army Nat'l Guard's $13K bubble for bubble soccer matches #AmericasMostWasted,Thu Jan 07 21:49:28 +0000 2016,False,burst army nat l guard k bubble bubble soccer matches americasmostwasted,we should burst army nat l guard s k bubble for bubble soccer matches americasmostwasted
other,"January 1977: ""Loving ABBA's new song 'Take a Chance on Me' #ABBAforever"" #LoveTwitter https://t.co/06K32i5TUY",Mon Mar 21 15:33:36 +0000 2016,False,january loving abba new song take chance abbaforever lovetwitter,january loving abba s new song take a chance on me abbaforever lovetwitter
other,Good delegation mtg w/ Chief of Army Staff of #Pakistan Gen Raheel Sharif &amp; discussing regional security challenges https://t.co/pf3M48F5M2,Sun Jul 03 13:02:55 +0000 2016,False,good delegation mtg w chief army staff pakistan gen raheel sharif discussing regional security challenges,good delegation mtg w chief of army staff of pakistan gen raheel sharif discussing regional security challenges
