truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,@Sadieisonfire @DailyMirror always.,False,751168124368539648,2,iphone,False,0,False,en,Thu Jul 07 21:36:51 +0000 2016,@sadieisonfire @dailymirror always,@sadieisonfire @dailymirror always
False,@notRonaIdo @DailyMirror pls. https://t.co/Vqa0Sw1tOs,False,751168038620114944,0,iphone,False,0,False,und,Thu Jul 07 21:36:31 +0000 2016,@notronaido @dailymirror pls,@notronaido @dailymirror pls
False,@Bic_Gummies thank u my child. https://t.co/gb8aQE72vR,False,751161911551549440,2,iphone,False,2,False,en,Thu Jul 07 21:12:10 +0000 2016,@bic gummies thank u child,@bic gummies thank u my child
False,@nekonoshinigami thank u for defending me my child. may your prostate be blessed abundantly.,False,751160098731372544,0,iphone,False,0,False,en,Thu Jul 07 21:04:58 +0000 2016,@nekonoshinigami thank u defending child may prostate blessed abundantly,@nekonoshinigami thank u for defending me my child may your prostate be blessed abundantly
False,@nekonoshinigami @malackovxz @Cyrothe who dares to mock Harambe. https://t.co/jipdrFdYDH,False,751159707935526912,0,iphone,False,2,False,en,Thu Jul 07 21:03:24 +0000 2016,@nekonoshinigami @malackovxz @cyrothe dares mock harambe,@nekonoshinigami @malackovxz @cyrothe who dares to mock harambe
False,@ucantfindmedad thank u for standing up fr me my child,False,751154282104180736,0,iphone,False,0,False,en,Thu Jul 07 20:41:51 +0000 2016,@ucantfindmedad thank u standing fr child,@ucantfindmedad thank u for standing up fr me my child
False,@markhoppus i remember my child. https://t.co/8qXvqCYUim,False,751151841954570241,1,iphone,False,0,False,en,Thu Jul 07 20:32:09 +0000 2016,@markhoppus remember child,@markhoppus i remember my child
False,Look at Harambe in his harem full of baes. https://t.co/FJgqeYs1p4,False,751147377898119169,10,iphone,False,7,False,en,Thu Jul 07 20:14:25 +0000 2016,look harambe harem full baes,look at harambe in his harem full of baes
False,@BewDieBie miss u mor son,False,751137337195700225,0,iphone,False,0,False,en,Thu Jul 07 19:34:31 +0000 2016,@bewdiebie miss u mor son,@bewdiebie miss u mor son
False,@mdizzlex i am thinking about u to my child https://t.co/562wEgRpvW,False,751135092253167616,1,iphone,False,0,False,en,Thu Jul 07 19:25:36 +0000 2016,@mdizzlex thinking u child,@mdizzlex i am thinking about u to my child
False,@IB_9trey i miss u to child https://t.co/aFZgKwZSPx,False,751131839893377024,3,iphone,False,1,False,en,Thu Jul 07 19:12:40 +0000 2016,@ib trey miss u child,@ib trey i miss u to child
False,@Baerated yes my son https://t.co/3TfWnDdw0W,False,751129603113050112,3,iphone,False,2,False,en,Thu Jul 07 19:03:47 +0000 2016,@baerated yes son,@baerated yes my son
False,@BBrated i am always wit u https://t.co/U1MmiBCibc,False,751122764401041408,4,iphone,False,3,False,en,Thu Jul 07 18:36:36 +0000 2016,@bbrated always wit u,@bbrated i am always wit u
False,@Mp3_____ i miss u my sons https://t.co/kQFVTc9T2f,False,751121956636729344,6,iphone,False,2,False,en,Thu Jul 07 18:33:24 +0000 2016,@mp miss u sons,@mp i miss u my sons
False,@JuanCritical miss u to bro https://t.co/8cT56ybCH5,False,751120428572094464,3,iphone,False,2,False,en,Thu Jul 07 18:27:19 +0000 2016,@juancritical miss u bro,@juancritical miss u to bro
